Iteration,Customer ID,Customer Type,Beer Type,Drunkenness Level,Resistance Level,Remaining Customers,Return Status
0,Regular_1,Regular,Heineken,100.0,0.5,24,Stayed
0,Connoisseur_1,Connoisseur,Heineken,100.0,0.5,24,Stayed
0,Drunkard_1,Drunkard,Blackout Stout,100.0,0.5,24,Stayed
0,OccasionalDrinker_1,OccasionalDrinker,None,0.0,0.5,24,Stayed
0,Regular_2,Regular,Heineken,100.0,0.5,24,Stayed
0,Connoisseur_2,Connoisseur,Corona Light,100.0,0.5,24,Stayed
0,Drunkard_2,Drunkard,Blackout Stout,100.0,0.5,24,Stayed
0,OccasionalDrinker_2,OccasionalDrinker,None,0.0,0.5,24,Stayed
0,Regular_3,Regular,Guinness,100.0,0.5,24,Stayed
0,Connoisseur_3,Connoisseur,Guinness,100.0,0.5,24,Stayed
0,Drunkard_3,Drunkard,Guinness,100.0,0.5,24,Stayed
0,OccasionalDrinker_3,OccasionalDrinker,None,0.0,0.5,24,Stayed
0,Regular_4,Regular,Corona Light,100.0,0.5,24,Stayed
0,Connoisseur_4,Connoisseur,Heineken,100.0,0.5,24,Stayed
0,Drunkard_4,Drunkard,Corona Light,100.0,0.5,24,Stayed
0,OccasionalDrinker_4,OccasionalDrinker,None,0.0,0.5,24,Stayed
0,Regular_5,Regular,Heineken,100.0,0.5,24,Stayed
0,Connoisseur_5,Connoisseur,Corona Light,100.0,0.5,24,Stayed
0,Drunkard_5,Drunkard,Guinness,100.0,0.5,24,Stayed
0,OccasionalDrinker_5,OccasionalDrinker,None,0.0,0.5,24,Stayed
0,Regular_6,Regular,Guinness,100.0,0.5,24,Stayed
0,Connoisseur_6,Connoisseur,Blackout Stout,100.0,0.5,24,Stayed
0,Drunkard_6,Drunkard,Corona Light,100.0,0.5,24,Stayed
0,OccasionalDrinker_6,OccasionalDrinker,None,0.0,0.5,24,Stayed
0,Regular_1,Regular,Guinness,200.0,0.5,48,Left
0,Connoisseur_1,Connoisseur,Heineken,200.0,0.5,48,Left
0,Drunkard_1,Drunkard,Guinness,0.0,0.5,48,Will return
0,OccasionalDrinker_1,OccasionalDrinker,Blackout Stout,100.0,0.5,48,Stayed
0,Regular_2,Regular,Corona Light,200.0,0.5,48,Left
0,Connoisseur_2,Connoisseur,Corona Light,200.0,0.5,48,Left
0,Drunkard_2,Drunkard,Guinness,0.0,0.5,48,Will return
0,OccasionalDrinker_2,OccasionalDrinker,Corona Light,100.0,0.5,48,Stayed
0,Regular_3,Regular,Guinness,200.0,0.5,48,Left
0,Connoisseur_3,Connoisseur,Guinness,200.0,0.5,48,Left
0,Drunkard_3,Drunkard,Guinness,0.0,0.5,48,Will return
0,OccasionalDrinker_3,OccasionalDrinker,Guinness,100.0,0.5,48,Stayed
0,Regular_4,Regular,Corona Light,200.0,0.5,48,Left
0,Connoisseur_4,Connoisseur,Heineken,200.0,0.5,48,Left
0,Drunkard_4,Drunkard,Blackout Stout,0.0,0.5,48,Will return
0,OccasionalDrinker_4,OccasionalDrinker,Corona Light,100.0,0.5,48,Stayed
0,Regular_5,Regular,Corona Light,200.0,0.5,48,Left
0,Connoisseur_5,Connoisseur,Corona Light,200.0,0.5,48,Left
0,Drunkard_5,Drunkard,Corona Light,0.0,0.5,48,Will return
0,OccasionalDrinker_5,OccasionalDrinker,Corona Light,100.0,0.5,48,Stayed
0,Regular_6,Regular,Heineken,200.0,0.5,48,Left
0,Connoisseur_6,Connoisseur,Blackout Stout,200.0,0.5,48,Left
0,Drunkard_6,Drunkard,Heineken,0.0,0.5,48,Will return
0,OccasionalDrinker_6,OccasionalDrinker,Corona Light,100.0,0.5,48,Stayed
0,Regular_1,Regular,Corona Light,100.0,0.5,48,Stayed
0,Connoisseur_1,Connoisseur,Guinness,100.0,0.5,48,Stayed
0,Drunkard_1,Drunkard,Heineken,100.0,0.5,48,Stayed
0,OccasionalDrinker_1,OccasionalDrinker,None,0.0,0.5,48,Stayed
0,Regular_2,Regular,Heineken,100.0,0.5,48,Stayed
0,Connoisseur_2,Connoisseur,Blackout Stout,100.0,0.5,48,Stayed
0,Drunkard_2,Drunkard,Heineken,100.0,0.5,48,Stayed
0,OccasionalDrinker_2,OccasionalDrinker,None,0.0,0.5,48,Stayed
0,Regular_3,Regular,Guinness,100.0,0.5,48,Stayed
0,Connoisseur_3,Connoisseur,Blackout Stout,100.0,0.5,48,Stayed
0,Drunkard_3,Drunkard,Blackout Stout,100.0,0.5,48,Stayed
0,OccasionalDrinker_3,OccasionalDrinker,None,0.0,0.5,48,Stayed
0,Regular_4,Regular,Guinness,100.0,0.5,48,Stayed
0,Connoisseur_4,Connoisseur,Heineken,100.0,0.5,48,Stayed
0,Drunkard_4,Drunkard,Blackout Stout,100.0,0.5,48,Stayed
0,OccasionalDrinker_4,OccasionalDrinker,None,0.0,0.5,48,Stayed
0,Regular_5,Regular,Heineken,100.0,0.5,48,Stayed
0,Connoisseur_5,Connoisseur,Corona Light,100.0,0.5,48,Stayed
0,Drunkard_5,Drunkard,Corona Light,100.0,0.5,48,Stayed
0,OccasionalDrinker_5,OccasionalDrinker,None,0.0,0.5,48,Stayed
0,Regular_6,Regular,Heineken,100.0,0.5,48,Stayed
0,Connoisseur_6,Connoisseur,He
